timestamp,source,sleepTime,isMusic,id,orientation,token,batteryLevel,usingPhone,reachability,username,location.course,location.floor,location.longitude,location.horizontalAccuracy,location.locationName,location.speed,location.verticalAccuracy,location.latitude,location.altitude,rotation.m31,rotation.m21,rotation.m11,rotation.m33,rotation.m23,rotation.m13,rotation.m32,rotation.m22,rotation.m12,attitude.x,attitude.y,attitude.z,rotationRate.x,rotationRate.y,rotationRate.z,acceleration.x,acceleration.y,acceleration.z,accelerometer.x,accelerometer.y,accelerometer.z,gravity.x,gravity.y,gravity.z,gyroscope.x,gyroscope.y,gyroscope.z,magneticField.x,magneticField.y,magneticField.z
24/12/19 11:33,APN,[],Not playing,B33BEF21-536A-4616-A8A4-572DA6602682,Portrait,0e77081b0d49a57da167d462458760545225931692ecf57aaba56c60f198d6a6,0.349999994,FALSE,Connected,,0,0,0,0,,0,0,0,0,-0.75017935,0.25064075,0.611890554,0.449819863,-0.484823376,0.750072181,0.484657496,0.837929249,0.250961363,-0.50616121,-1.030595884,-0.290648539,-0.001332841,-0.001445073,-0.00086389,-0.00390929,0.002343297,-0.001902223,-0.753982544,0.487167358,-0.451721191,-0.750072181,0.484823376,-0.449819863,-0.009342901,0.005832057,-0.011203386,0,0,0
24/12/19 11:38,BACKGROUND,[],Not playing,A7DD0DF0-A6A2-4EF7-9005-9BA9B51B3B3D,Portrait,0e77081b0d49a57da167d462458760545225931692ecf57aaba56c60f198d6a6,0.349999994,FALSE,Connected,,0,0,0,0,,0,0,0,0,-0.750542343,0.250258178,0.611602068,0.450372159,-0.48356545,0.750552714,0.483581603,0.838770092,0.250227004,-0.504723526,-1.030337116,-0.289954519,-0.001797738,0.001092503,0.000623102,-0.004162371,0.002366006,-0.002020299,-0.754714966,0.485931396,-0.452392578,-0.750552714,0.48356545,-0.450372159,-0.009041432,0.006977482,-0.00808589,0,0,0
24/12/19 11:38,APN,[],Not playing,1765B841-D543-4DE8-A622-840B082AC9FA,Portrait,0e77081b0d49a57da167d462458760545225931692ecf57aaba56c60f198d6a6,0.349999994,FALSE,Connected,,0,0,0,0,,0,0,0,0,-0.750503182,0.250479877,0.611559212,0.450083166,-0.48387742,0.750524879,0.483911097,0.838523924,0.250414848,-0.505079966,-1.030603925,-0.290277679,-0.00020905,-0.000589971,0.000841108,-0.004265547,0.002404392,-0.001302958,-0.75479126,0.486282349,-0.451385498,-0.750524879,0.48387742,-0.450083166,-0.008218781,0.006443252,-0.009627061,0,0,0
24/12/19 11:43,APN,[],Not playing,0577F176-13A8-49BA-A88A-EF1104A72845,Portrait,0e77081b0d49a57da167d462458760545225931692ecf57aaba56c60f198d6a6,0.349999994,FALSE,Connected,,0,0,0,0,,0,0,0,0,-0.751182854,0.249750569,0.61102277,0.450378239,-0.482811749,0.751034081,0.482580185,0.83935535,0.250197738,-0.503862679,-1.030613973,-0.28920799,0.001214691,0.003060634,-0.000259473,-0.003667116,0.002098262,-0.001418114,-0.754699707,0.484909058,-0.451797485,-0.751034081,0.482811779,-0.450378239,-0.006792658,0.010204168,-0.010611632,0,0,0
24/12/19 11:45,BACKGROUND,[],Not playing,F47FFD26-FE1B-40F0-8346-7A70BB70B30A,Portrait,0e77081b0d49a57da167d462458760545225931692ecf57aaba56c60f198d6a6,0.349999994,FALSE,Connected,,0,0,0,0,,0,0,0,0,-0.751676559,0.249419153,0.610551,0.450798929,-0.481428593,0.751669407,0.481417447,0.840247929,0.24944064,-0.502283898,-1.030575111,-0.28855515,0.001638566,0.001726797,0.002111908,-0.003610134,0.002351284,-0.002188742,-0.755218506,0.483718872,-0.453353882,-0.751669407,0.481428593,-0.450798959,-0.007727695,0.008737299,-0.009086972,0,0,0
24/12/19 11:48,APN,[],Not playing,9F46A5FE-FDC8-4C7E-BCB1-92F862CA1992,Portrait,0e77081b0d49a57da167d462458760545225931692ecf57aaba56c60f198d6a6,0.349999994,FALSE,Connected,,0,0,0,0,,0,0,0,0,-0.753754079,0.247413114,0.608803332,0.452190459,-0.476953745,0.753683507,0.476842225,0.843387127,0.247628018,-0.49718559,-1.030395984,-0.285350771,-0.003046093,-0.00194092,-0.000278198,-0.003777921,0.00220263,-0.002414703,-0.757461548,0.479156494,-0.454605103,-0.753683507,0.476953775,-0.452190459,-0.010985806,0.005302354,-0.010527209,0,0,0
24/12/19 11:53,APN,[],Not playing,3838F8EC-A003-4D56-AF03-EBCEFF5B50CC,Portrait,0e77081b0d49a57da167d462458760545225931692ecf57aaba56c60f198d6a6,0.340000004,FALSE,Connected,,0,0,0,0,,0,0,0,0,-0.753843427,0.247362182,0.608713388,0.452353805,-0.476532042,0.753852248,0.47654599,0.843640387,0.247335359,-0.496705859,-1.03033543,-0.285214089,0.000713005,-0.003189663,0.002351453,-0.00374645,0.003112644,-0.002510786,-0.757598877,0.479644775,-0.454864502,-0.753852248,0.476532072,-0.452353805,-0.00737376,0.003931092,-0.007992946,0,0,0
24/12/19 11:58,APN,[],Not playing,100772DE-4849-4206-A3FB-E835A7092166,Portrait,0e77081b0d49a57da167d462458760545225931692ecf57aaba56c60f198d6a6,0.340000004,FALSE,Connected,,0,0,0,0,,0,0,0,0,-0.754246235,0.246960536,0.608377337,0.45241797,-0.476031363,0.754129887,0.475847006,0.844040632,0.247315601,-0.496136453,-1.030435321,-0.284647775,-6.63E-05,-0.00073421,0.000876841,-0.003118396,0.002026707,-0.001851261,-0.757247925,0.478057861,-0.454269409,-0.754129887,0.476031393,-0.45241794,-0.008118646,0.006356699,-0.009522932,0,0,0
25/12/19 12:03,APN,[],Not playing,61D20383-94C0-4480-8473-514DD0CC74E2,Portrait,0e77081b0d49a57da167d462458760545225931692ecf57aaba56c60f198d6a6,0.340000004,FALSE,Connected,,0,0,0,0,,0,0,0,0,-0.754563272,0.246778727,0.608057976,0.452577978,-0.47527492,0.754511058,0.475191951,0.844519973,0.246938407,-0.495276484,-1.03050221,-0.284296441,-0.001615844,0.001551272,0.001244471,-0.003545821,0.002371043,-0.001904964,-0.758056641,0.477645874,-0.454483032,-0.754511058,0.47527492,-0.452577978,-0.009641176,0.00854129,-0.009155681,0,0,0
25/12/19 12:08,APN,[],Not playing,0313077C-53BD-4C11-BAA0-94DD5C68FC51,Portrait,0e77081b0d49a57da167d462458760545225931692ecf57aaba56c60f198d6a6,0.330000013,FALSE,Connected,,0,0,0,0,,0,0,0,0,-0.754414022,0.246683791,0.608281612,0.452989221,-0.474990785,0.754443228,0.475037098,0.844707549,0.246594623,-0.494953569,-1.03006184,-0.28413312,-3.57E-05,-0.000868837,0.000936439,-0.003293037,0.0030213,-0.002729774,-0.757736206,0.478012085,-0.455718994,-0.754443228,0.474990785,-0.452989191,-0.008064585,0.006266152,-0.009356484,0,0,0
